Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package
BOOT_BUTTON,49.03,108.83,180,BUTTON_CUSYOMV1,MYBUTTON
C1,155.24,5.93,90,100nF,EAGLE-LTSPICE_C0402
C10,67.74,108.31,90,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,96.49,50.94,270,CPH3225A,CAPCP3225X100N
C1_BAT,121.93,51.15,0,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,122.28,38.37,180,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,134.52,41.37,90,4.7uF,EAGLE-LTSPICE_C0402
C2,156.72,5.93,90,100nF,EAGLE-LTSPICE_C0402
C2_BAT,133.64,52.85,90,4.7uF,EAGLE-LTSPICE_C0402
C3,131.31,40.3,270,100uF TANT,RCL_CT3528
C4,92.31,30.59,90,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,152.63,48.07,0,100nF,EAGLE-LTSPICE_C0402
C5,27.61,108.31,90,1uF,EAGLE-LTSPICE_C0402
C5_USB,152.64,46.57,0,4.7uF,EAGLE-LTSPICE_C0402
C6,45.3,108.21,90,100nF,EAGLE-LTSPICE_C0402
C7,79.79,22.63,0,10uF,EAGLE-LTSPICE_C0402
C8,87.48,47.33,0,100nF,EAGLE-LTSPICE_C0402
C9,7.06,99.53,90,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64.06,108.83,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,125.44,51.15,90,,ADAFRUIT_CHIP-LED0603
C_DELAY,52.57,100.99,90,100nF,EAGLE-LTSPICE_C0402
D1,151.98,50.97,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,46.22,37.77,270,PGB1010603MR,DIOC1608X36N
D11,49.7,37.77,90,PGB1010603MR,DIOC1608X36N
D12,51.58,37.77,90,PGB1010603MR,DIOC1608X36N
D2,121.49,41.58,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,88.56,26.57,0,MBR0530,SOD3716X135N
D4,81.52,33.78,180,MBR0530,SOD3716X135N
D5,88.54,29.98,180,MBR0530,SOD3716X135N
D6,74.28,21.07,0,PGB1010603MR,DIOC1608X36N
D7,88.24,63.28,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,15.26,98.77,0,PGB1010603MR,DIOC1608X36N
D9,35.94,46.77,90,PGB1010603MR,DIOC1608X36N
EPD_C1,68.85,19.77,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,85.51,19.89,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,87.09,19.89,90,1uF/50V,EAGLE-LTSPICE_C0402
